puuid,platform,match_routing
nKL0ZlG9fpE56-jg7ZPMjElMB5vqLJcOANxaJnfPtNQ0pgVN7xy888yvNfrtnVO_VUj8951KoE8PTg,na1,americas
KOLsO0R25bo5C0h9L8r42o--0bVdQRyKVtl1AHCn-_SSPB2GTy0r0eZBobucPccPKTZ4xJoOKssHyg,euw1,europe
N3CcwQpy5rF99eQpppz_xsn8iyhNtaoGZ7Td_uDL40WVkw-By-y5DMcVbiECscIbwX6190aRfhdXTA,na1,americas
1ZRYjDMwKWXqu85MuZ8Dj1B3OKpMnQqZLb2f8bS1eH1LF30ZnJgjn6osYVYV4xhC1KbAGAwuPHrldA,vn2,sea
Xe05zprox3kwZnc8s0LvbYstMLHx25r3HDtun2ZRoPA6ZJ5_mVzRsemypdGMH_Ewh-6b7EcAwC5Xwg,na1,americas
Hp9Ek2PJiUtMJHO5xbWH0uHCXbba8vVsNKGXUMkJ2Ng7ZkeC3xWfiNQBs6rN57GgODiNv2F2BdXYdA,vn2,sea
up2Vc8wG78gTOOycaZe4PC3D0MEscxVyn0JYyjG4aTOqONQl73b0hVbc3vNAVwfdsOajEmlPA-YdvA,kr,asia
jYSuv8x1YlbcsVcnITSfeCWsfkInn7uOkrJCvTd1zPHxXXdnhomqvndE96cDv4zTqpMhNC6B9skNYA,vn2,sea
gbx5wa5Rol6h39QLrEolKfYW-07_mw9dcMeKrcz_G8wbnfVOLT6c-Gbl8AreIpmD72gi--UOqTlQXw,vn2,sea
TqU0hbqkJAuoqsT4G7WdNlAYf2ZMakJUlxPsUQzQBfAPDDeMTGI5iUHS1BRu8gNvSWq0PurbVcFL2g,kr,asia
puAhSnG0NFXgMrkQOnjdq-eCfs3guzvEx3manLSaG5K2RGoA92z2q2ZTiUpFZRMa34odqt6O_HwhhQ,kr,asia
E7Fpo_kBcOsJfvQMa897xWHpphr-IXH7YrIJLgrJ8MD4ftaLHrTS21dAQ8TD2SH9aiy-RXflKpQNTw,na1,americas
